"BOID (1075)","Published","Title (1075)","Authors (636)","URL","Bitsy Jam","Notes"
"0FF04B41","14/09/2016","When I get home","Adam Le Doux","https://ledoux.itch.io/when-i-get-home","",""
"CC34457E","17/09/2016","September is halfway over","Adam Le Doux","https://ledoux.itch.io/september-is-halfway-over","",""
"605E57D3","16/10/2016","In the middle of the night","Adam Le Doux","https://ledoux.itch.io/in-the-middle-of-the-night","",""
"78D15B28","16/10/2016","Creature Passing","Froach Club","https://froachclub.itch.io/creature-passing","",""
"D57719A1","17/10/2016","Hex World","triplefox","https://triplefox.itch.io/hex-world","",""
"08EEB422","17/10/2016",". . .","Tyler Brothers","http://possibly.github.io/dotdotdot","",""
"C36E27E5","17/10/2016","Poem by Parts","Tyler Brothers","http://possibly.github.io/poembyparts","",""
"27DFC976","18/10/2016","Driving all Day, Night, and Evening","Night Driver","https://night-driver.itch.io/driving-every-day-night-and-evening","",""
"807805CC","18/10/2016","Modern Living","Night Driver","https://night-driver.itch.io/modern-living","",""
"12E058CB","18/10/2016","Endless Ant","Middle Mouse","https://middlemouse.itch.io/endless-ant","",""
"87D1FE22","20/10/2016","August Memories","Night Driver","https://night-driver.itch.io/august-memories","",""
"536C4C44","20/10/2016","Rise","TheoRosen","https://theorosen.itch.io/rise","",""
"E058A61F","20/10/2016","Zen Garden, Portland, The Day Before My Wedding","cephalopodunk","https://cephalopodunk.itch.io/zen-garden-portland","",""
"1998508E","21/10/2016","GHOSTDATE","Jill Murray","https://codejill.itch.io/ghostdate","",""
"42492AF1","23/10/2016","I HAD TO BE SURE","Jill Murray","https://codejill.itch.io/had-to-be-sure","","bitsy v0.1"
"82DDE16F","23/10/2016","HIS ONLY LOVE","Jill Murray","https://codejill.itch.io/his-only-love","",""
"52E7CD15","23/10/2016","The Party","PixelCod","https://pixelcod.itch.io/the-party","",""
"27B5CDDF","23/10/2016","Thank you!","Adam Le Doux","http://ledoux.io/misc/thanks.html","","""I made a thank you for everyone who's made bitsy games! and everyone who's helped me with feedback and bugs! :)"""
"13882E3B","25/10/2016","The Calm Before The Storm","Night Driver","https://night-driver.itch.io/the-calm-before-the-storm","",""
"6688787D","27/10/2016","The Final Room","lightcastle","https://lightcastle.itch.io/the-final-room","",""
"EA1A53EC","27/10/2016","Infernus","Nathan Altice","http://metopal.com/portfolio/games/infernus.html","",""
"2D2B56B6","28/10/2016","SNUGGLEBAT","Jill Murray","https://codejill.itch.io/snugglebat","",""
"2E2987D0","28/10/2016","Crunch Time","Night Driver","https://night-driver.itch.io/crunch-time","",""
"5F977747","30/10/2016","-driftwood-","Adam Le Doux","http://ledoux.io/bitsy/play.html#driftwood","","no longer available"
"046871F8","02/11/2016","Forest Folk","miscslaineous","https://sarah-laine.itch.io/forest-folk","",""
"52FD0E97","03/11/2016","I wander lonely as a cloud","Calixarene","https://calixarene.itch.io/i-wander-lonely-as-a-cloud","",""
"4EB818FF","08/11/2016","""In your Phone, in the Air""","laitze.fan","https://laitzefan.itch.io/in-our-phone-in-their-air","",""
"54144FC1","12/11/2016","Nightmare Planet","Ludonaut","https://ludonaut.itch.io/nightmare-planet","","bitsy v1.0 (adds multiple rooms)"
"354DA56F","14/11/2016","Tables and Chairs","PixelCod","https://pixelcod.itch.io/tables-and-chairs","",""
"86CC164A","19/11/2016","Dog Walking, Dog Running, and Dog Still","cephalopodunk","https://cephalopodunk.itch.io/dog-walking-dog-running-and-dog-still","",""
"197512F9","23/11/2016","Sleepover","Calixarene","https://calixarene.itch.io/sleepover",""," dec 1st bitsy v1.1 (gif recording), dec 16th v1.2 (autosave)"
"107B236B","17/01/2017","Dreamy Desert","cathsplat","https://cathsplat.itch.io/dreamy-desert","","jan 5th bitsy v1.3"
"C9AD2BE0","19/01/2017","THE BUS RIDE","cathsplat","https://cathsplat.itch.io/the-bus-ride","",""
"E4C0F50F","26/01/2017","Corgi Snow Day","mutantcassidy","https://mutantcassidy.itch.io/corgi-snow-day","",""
"63BB798F","07/02/2017","sitting on a bench","single_image","https://twitter.com/dusssty/status/828820986594091009","","no longer available"
"748F77B5","08/02/2017","The Summit High","its5AM","https://heyits5am.itch.io/the-summit-high","",""
"2A1D0AF0","10/02/2017","Don't Go South","Laura Michet","http://lauramichet.com/bitsygames/dontgosouth.html","",""
"26A717C8","11/02/2017","Goofishas","Laura Michet","http://lauramichet.com/bitsygames/goodfishas.html","",""
"892332FB","12/02/2017","Green cavern","Arcanacra","https://arcanacra.itch.io/green-cavern","",""
"ED62FAC9","12/02/2017","reunion","Laura Michet","https://lauramichet.itch.io/reunion","",""
"DB59A848","12/02/2017","Pitstop","Laura Michet","http://lauramichet.com/bitsygames/pitstop.html","",""
"874B5BD3","13/02/2017","ascend","Laura Michet","http://lauramichet.com/bitsygames/ascend.html","",""
"0EC5A69F","14/02/2017","Talkative Plants","Papercookies","https://papercookies.itch.io/talkative-plants","",""
"4AC058FE","16/02/2017","MY PEOPLE","Laura Michet","http://lauramichet.com/bitsygames/mypeople.html","",""
"E363F335","17/02/2017","Petri","Laura Michet","http://lauramichet.com/bitsygames/petri.html","",""
"996FAC6F","18/02/2017","Nowt","Living meme","https://slip2.itch.io/nowt","",""
"6A934776","20/02/2017","fire without smoke","jctwood","https://jctwood.itch.io/fire","",""
"171426F6","21/02/2017","Explore The Land","Batch Coder","https://batch-coder.itch.io/explore","",""
"0145F050","23/02/2017","holt","Sean S. LeBlanc","https://seansleblanc.itch.io/holt","","music, modded to add sound effects for talking/moving"
"D26C1EA0","24/02/2017","slime playground","tuckie","https://tuckie.itch.io/slime-playground","",""
"E80C1B51","26/02/2017","William's World","~Jellyfish~","https://justjilly.itch.io/williams-world","",""
"BEF59607","26/02/2017","awful wind today","p184","https://p184.itch.io/awful-wind-today","",""
"69E5ADDE","28/02/2017","[a rat dining adventure]","Siobhan Gibson","https://sgx.itch.io/rat-dining-adventure","","bitsy v2.2"
"AC7E9F07","28/02/2017","Ice Cream Heaven","Night Driver","https://night-driver.itch.io/ice-cream-heaven","",""
"8FEDB06B","01/03/2017","Ice Cream Heaven 2","Night Driver","https://night-driver.itch.io/ice-cream-heaven-2","",""
"71EADB1C","01/03/2017","Deedee","~Jellyfish~","https://justjilly.itch.io/deedee","",""
"E4A27BC9","01/03/2017","The King's Message","Papercookies","https://papercookies.itch.io/the-kings-message","",""
"85F7067E","01/03/2017","Unmotivated","Living meme","https://slip2.itch.io/unmotivated-made-for-procrastination-jam-2017","",""
